"Class","Object line Coverage","Traditional line Coverage"
"org.apache.bcel.classfile.Field","0.125","0.038"
"org.apache.bcel.classfile.ConstantLong","0.231","0.214"
"org.apache.bcel.classfile.Method","0.439","0.702"
"org.apache.bcel.classfile.ConstantInteger","0.231","0.214"
"org.apache.bcel.classfile.ClassParser","0.659","0.659"
"org.apache.bcel.classfile.StackMapType","0.289","0.289"
"org.apache.bcel.classfile.StackMapEntry","0.183","0.183"
"org.apache.bcel.classfile.StackMap","0.194","0.200"
"org.apache.bcel.classfile.InnerClasses","0.207","0.226"
"org.apache.bcel.classfile.EmptyVisitor","0.034","0.034"
"org.apache.bcel.classfile.LineNumberTable","0.141","0.121"
"org.apache.bcel.classfile.Method$1","0.833","0.833"
"org.apache.bcel.classfile.CodeException","0.171","0.171"
"org.apache.bcel.classfile.ClassFormatException","0.333","0.333"
"org.apache.bcel.classfile.JavaClass","0.131","0.150"
"org.apache.bcel.classfile.ConstantClass","0.250","0.250"
"org.apache.bcel.classfile.Code","0.264","0.266"
"org.apache.bcel.classfile.LocalVariableTable","0.174","0.167"
"org.apache.bcel.classfile.SourceFile","0.256","0.313"
"org.apache.bcel.classfile.ConstantUtf8","0.276","0.294"
"org.apache.bcel.classfile.ConstantString","0.214","0.188"
"org.apache.bcel.classfile.LocalVariable","0.155","0.155"
"org.apache.bcel.classfile.Signature","0.182","0.176"
"org.apache.bcel.classfile.ConstantFieldref","0.235","0.200"
"org.apache.bcel.classfile.ConstantValue","0.138","0.097"
"org.apache.bcel.classfile.ConstantMethodref","0.235","0.200"
"org.apache.bcel.classfile.LineNumber","0.200","0.200"
"org.apache.bcel.classfile.ConstantNameAndType","0.219","0.200"
"org.apache.bcel.classfile.NestMembers","0.292","0.211"
"org.apache.bcel.classfile.ConstantPool","0.287","0.287"
"org.apache.bcel.classfile.InnerClass","0.140","0.140"
"org.apache.bcel.classfile.ExceptionTable","0.185","0.184"
